x,y
5.7339,41.4759
5.7336,40.8332
5.7333,39.8795
5.7330,39.0774
5.7328,38.5410
5.7325,38.0956
5.7322,37.5450
5.7319,36.5997
5.7317,35.0284
5.7314,32.8804
5.7311,30.5864
5.7308,28.3833
5.7306,26.2031
5.7303,23.9318
5.7300,21.8341
5.7297,19.9488
5.7295,18.4619
5.7292,17.4304
5.7289,16.8436
5.7286,16.5908
5.7284,16.4878
5.7281,16.5366
5.7278,16.5882
5.7275,16.6399
5.7273,16.6099
5.7270,16.5800
5.7267,16.4960
5.7264,16.4120
5.7262,16.2825
5.7259,16.1529
5.7256,15.9750
5.7253,15.7971
5.7251,15.7102
5.7248,15.6234
5.7245,15.4700
5.7242,15.3167
5.7240,15.0665
5.7237,14.8164
5.7234,14.5777
5.7231,14.2479
5.7229,13.7417
5.7226,13.1444
5.7223,12.3560
5.7220,11.4765
5.7218,10.5572
5.7215,9.6379
5.7212,8.6863
5.7209,7.8258
5.7207,7.1721
5.7204,6.6701
5.7201,6.2000
5.7198,5.8816
5.7196,5.5784
5.7193,5.2752
5.7190,4.9852
5.7187,4.6953
5.7185,4.5021
5.7182,4.3090
5.7179,4.0949
5.7176,3.9719
5.7174,3.8831
5.7171,3.7943
5.7168,3.7566
5.7165,3.6280
5.7163,3.4936
5.7160,3.4503
5.7157,3.4363
5.7154,3.3312
5.7152,3.2830
5.7149,3.2349
5.7146,3.1763
5.7143,3.1177
5.7141,3.0989
5.7138,3.0801
5.7135,3.1797
5.7132,3.1882
5.7130,3.1569
5.7127,3.1255
5.7124,3.1938
5.7121,3.2621
5.7119,3.2905
5.7116,3.2279
5.7113,3.2235
5.7110,3.2192
5.7108,3.2945
5.7105,3.3698
5.7102,3.4982
5.7099,3.5356
5.7097,3.4668
5.7094,3.3979
5.7091,3.2100
5.7088,2.9310
5.7086,2.7033
5.7083,2.4756
5.7080,2.3578
5.7077,2.2401
5.7075,2.1224
5.7072,2.0047
5.7069,1.9548
5.7066,1.9049
5.7064,1.8551
5.7061,1.8052
5.7058,1.7553
5.7055,1.7054
5.7053,1.6555
5.7050,1.6056
5.7047,1.5816
5.7044,1.5575
5.7042,1.5335
5.7039,1.5095
5.7036,1.4911
5.7033,1.4728
5.7031,1.4544
5.7028,1.4361
5.7025,1.3730
5.7022,1.3099
5.7020,1.3378
5.7017,1.3658
5.7014,1.3169
5.7011,1.2680
5.7009,1.2647
5.7006,1.2613
5.7003,1.2788
5.7000,1.2963
5.6998,1.3139
5.6995,1.3314
5.6992,1.3546
5.6989,1.3778
5.6987,1.4010
5.6984,1.4242
5.6981,1.4007
5.6978,1.3772
5.6976,1.3992
5.6973,1.4213
5.6970,1.3664
5.6967,1.3116
5.6965,1.3479
5.6962,1.3841
5.6959,1.3417
5.6956,1.2992
5.6954,1.2055
5.6951,1.2029
5.6948,1.2505
5.6945,1.2981
5.6943,1.2604
5.6940,1.2227
5.6937,1.1395
5.6934,1.0564
5.6932,1.0244
5.6929,0.9925
5.6926,0.8800
5.6923,0.8585
5.6921,0.9375
5.6918,1.0166
5.6915,1.0916
5.6912,1.1666
5.6910,1.2417
